"btype", "mg","ipow","ttc","ptc","psz"
"4","7.000000000000001e-07","980000000","1.8589","185","1024"
"4","8.000000000000001e-07","1120000000","20.7307","2073","1"
"4","8.000000000000001e-07","1120000000","20.5507","2055","2"
"4","8.000000000000001e-07","1120000000","20.2107","2021","4"
"4","8.000000000000001e-07","1120000000","19.56","1956","8"
"4","8.000000000000001e-07","1120000000","18.3708","1837","16"
"4","8.000000000000001e-07","1120000000","16.38","1638","32"
"4","8.000000000000001e-07","1120000000","13.4612","1346","64"
"4","8.000000000000001e-07","1120000000","9.92173","992","128"
"4","8.000000000000001e-07","1120000000","6.50275","650","256"
"4","8.000000000000001e-07","1120000000","3.8548","385","512"
"4","8.000000000000001e-07","1120000000","2.1289","212","1024"
"4","9.000000000000001e-07","1260000000","23.33","2333","1"
"4","9.000000000000001e-07","1260000000","23.1307","2313","2"
"4","9.000000000000001e-07","1260000000","22.7407","2274","4"
"4","9.000000000000001e-07","1260000000","22.0008","2200","8"
"4","9.000000000000001e-07","1260000000","20.6708","2067","16"
"4","9.000000000000001e-07","1260000000","18.43","1843","32"
"4","9.000000000000001e-07","1260000000","15.1412","1514","64"
"4","9.000000000000001e-07","1260000000","11.1617","1116","128"
"4","9.000000000000001e-07","1260000000","7.32275","732","256"
"4","9.000000000000001e-07","1260000000","4.3348","433","512"
"4","9.000000000000001e-07","1260000000","2.3889","238","1024"
"4","1e-06","1400000000","25.9207","2592","1"
"4","1e-06","1400000000","25.7007","2570","2"
"4","1e-06","1400000000","25.2707","2527","4"
"4","1e-06","1400000000","24.4508","2445","8"
"4","1e-06","1400000000","22.97","2297","16"
"4","1e-06","1400000000","20.48","2048","32"
"4","1e-06","1400000000","16.8312","1683","64"
"4","1e-06","1400000000","12.41","1241","128"
"4","1e-06","1400000000","8.13275","813","256"
"4","1e-06","1400000000","4.8148","481","512"
"4","1e-06","1400000000","2.6589","265","1024"
"5","1.0000000000000001e-07","460000000","8.5","850","1"
"5","1.0000000000000001e-07","460000000","8.42072","842","2"
"5","1.0000000000000001e-07","460000000","8.28074","828","4"
"5","1.0000000000000001e-07","460000000","8.02","802","8"
"5","1.0000000000000001e-07","460000000","7.53083","753","16"
"5","1.0000000000000001e-07","460000000","6.71096","671","32"
"5","1.0000000000000001e-07","460000000","5.52","552","64"
"5","1.0000000000000001e-07","460000000","4.06173","406","128"
"5","1.0000000000000001e-07","460000000","2.66275","266","256"
"5","1.0000000000000001e-07","460000000","1.5748","157","512"
"5","1.0000000000000001e-07","460000000","0.868897","86","1024"
"5","2.0000000000000002e-07","920000000","17.0207","1702","1"
"5","2.0000000000000002e-07","920000000","16.8807","1688","2"
"5","2.0000000000000002e-07","920000000","16.6","1660","4"
"5","2.0000000000000002e-07","920000000","16.0608","1606","8"
"5","2.0000000000000002e-07","920000000","15.0808","1508","16"
"5","2.0000000000000002e-07","920000000","13.451","1345","32"
"5","2.0000000000000002e-07","920000000","11.0512","1105","64"
"5","2.0000000000000002e-07","920000000","8.15173","815","128"
"5","2.0000000000000002e-07","920000000","5.34275","534","256"
"5","2.0000000000000002e-07","920000000","3.1648","316","512"
"5","2.0000000000000002e-07","920000000","1.7489","174","1024"
"5","3e-07","1380000000","25.5507","2555","1"
"5","3e-07","1380000000","25.3307","2533","2"
"5","3e-07","1380000000","24.9107","2491","4"
"5","3e-07","1380000000","24.1008","2410","8"
"5","3e-07","1380000000","22.6408","2264","16"
"5","3e-07","1380000000","20.181","2018","32"
"5","3e-07","1380000000","16.5912","1659","64"
"5","3e-07","1380000000","12.2317","1223","128"
"5","3e-07","1380000000","8.01275","801","256"
"5","3e-07","1380000000","4.7448","474","512"
"5","3e-07","1380000000","2.6189","261","1024"
"5","4.0000000000000003e-07","1840000000","34.08","3408","1"
"5","4.0000000000000003e-07","1840000000","33.79","3379","2"
"5","4.0000000000000003e-07","1840000000","33.2207","3322","4"
"5","4.0000000000000003e-07","1840000000","32.15","3215","8"
"5","4.0000000000000003e-07","1840000000","30.1908","3019","16"
"5","4.0000000000000003e-07","1840000000","26.921","2692","32"
"5","4.0000000000000003e-07","1840000000","22.1212","2212","64"
"5","4.0000000000000003e-07","1840000000","16.3117","1631","128"
"5","4.0000000000000003e-07","1840000000","10.6928","1069","256"
"5","4.0000000000000003e-07","1840000000","6.3348","633","512"
"5","4.0000000000000003e-07","1840000000","3.4889","348","1024"
"5","5e-07","2300000000","42.6007","4260","1"
"5","5e-07","2300000000","42.2407","4224","2"
"5","5e-07","2300000000","41.5307","4153","4"
"5","5e-07","2300000000","40.1908","4019","8"
"5","5e-07","2300000000","37.7508","3775","16"
"5","5e-07","2300000000","33.66","3366","32"
"5","5e-07","2300000000","27.6612","2766","64"
"5","5e-07","2300000000","20.3917","2039","128"
"5","5e-07","2300000000","13.3728","1337","256"
"5","5e-07","2300000000","7.9148","791","512"
"5","5e-07","2300000000","4.3689","436","1024"
"5","6e-07","2760000000","51.1307","5113","1"
"5","6e-07","2760000000","50.6907","5069","2"
"5","6e-07","2760000000","49.8507","4985","4"
"5","6e-07","2760000000","48.2308","4823","8"
"5","6e-07","2760000000","45.3008","4530","16"
"5","6e-07","2760000000","40.391","4039","32"
"5","6e-07","2760000000","33.2","3320","64"
"5","6e-07","2760000000","24.4717","2447","128"
"5","6e-07","2760000000","16.0428","1604","256"
"5","6e-07","2760000000","9.5048","950","512"
"5","6e-07","2760000000","5.2389","523","1024"
"5","7.000000000000001e-07","3220000000","59.66","5966","1"
"5","7.000000000000001e-07","3220000000","59.1507","5915","2"
"5","7.000000000000001e-07","3220000000","58.1607","5816","4"
"5","7.000000000000001e-07","3220000000","56.2808","5628","8"
"5","7.000000000000001e-07","3220000000","52.8608","5286","16"
"5","7.000000000000001e-07","3220000000","47.131","4713","32"
"5","7.000000000000001e-07","3220000000","38.7312","3873","64"
"5","7.000000000000001e-07","3220000000","28.56","2856","128"
"5","7.000000000000001e-07","3220000000","18.7228","1872","256"
"5","7.000000000000001e-07","3220000000","11.0848","1108","512"
"5","7.000000000000001e-07","3220000000","6.1089","610","1024"
"5","8.000000000000001e-07","3680000000","68.1807","6818","1"
"5","8.000000000000001e-07","3680000000","67.6007","6760","2"
"5","8.000000000000001e-07","3680000000","66.4707","6647","4"
"5","8.000000000000001e-07","3680000000","64.3208","6432","8"
"5","8.000000000000001e-07","3680000000","60.4108","6041","16"
"5","8.000000000000001e-07","3680000000","53.861","5386","32"
"5","8.000000000000001e-07","3680000000","44.2712","4427","64"
"5","8.000000000000001e-07","3680000000","32.6417","3264","128"
"5","8.000000000000001e-07","3680000000","21.3928","2139","256"
"5","8.000000000000001e-07","3680000000","12.6748","1267","512"
"5","8.000000000000001e-07","3680000000","6.9789","697","1024"
"5","9.000000000000001e-07","4140000000","76.7107","7671","1"
"5","9.000000000000001e-07","4140000000","76.06","7606","2"
"5","9.000000000000001e-07","4140000000","74.79","7479","4"
"5","9.000000000000001e-07","4140000000","72.37","7237","8"
"5","9.000000000000001e-07","4140000000","67.9708","6797","16"
"5","9.000000000000001e-07","4140000000","60.601","6060","32"
"5","9.000000000000001e-07","4140000000","49.8012","4980","64"
"5","9.000000000000001e-07","4140000000","36.7217","3672","128"
"5","9.000000000000001e-07","4140000000","24.0728","2407","256"
"5","9.000000000000001e-07","4140000000","14.2548","1425","512"
"5","9.000000000000001e-07","4140000000","7.8589","785","1024"
"5","1e-06","4600000000","85.24","8524","1"
"5","1e-06","4600000000","84.5107","8451","2"
"5","1e-06","4600000000","83.1007","8310","4"
"5","1e-06","4600000000","80.4108","8041","8"
"5","1e-06","4600000000","75.5208","7552","16"
"5","1e-06","4600000000","67.34","6734","32"
"5","1e-06","4600000000","55.3412","5534","64"
"5","1e-06","4600000000","40.8017","4080","128"
"5","1e-06","4600000000","26.7528","2675","256"
"5","1e-06","4600000000","15.8348","1583","512"
"5","1e-06","4600000000","8.7289","872","1024"
