Line Number,Attack.Type,Packet.Size,Initial.Energy.joules.,Transmission.Power.Watts.,Reception.Power.Watts.,Connection.Data.Rate.bits.sec.,Packets.Sent,Time.to.Compromise.seconds.
106,rte,1024,0.125,0.1,4.1,70058,1,0.014616461
107,std,1024,0.125,0.1,4.1,80058,1,0.012790727
108,rte,1024,0.125,0.1,4.1,80058,1,0.012790727
109,std,1024,0.125,0.1,4.9,58,1,17.65517241
110,rte,1024,0.125,0.1,4.9,58,1,17.65517241
111,std,1024,0.125,0.1,4.9,10058,1,0.101809505
112,rte,1024,0.125,0.1,4.9,10058,1,0.101809505
113,std,1024,0.125,0.1,4.9,20058,1,0.051051949
114,rte,1024,0.125,0.1,4.9,20058,1,0.051051949
115,std,1024,0.125,0.1,4.9,30058,1,0.03406747
116,rte,1024,0.125,0.1,4.9,30058,1,0.03406747
117,std,1024,0.125,0.1,4.9,40058,1,0.025562934
118,rte,1024,0.125,0.1,4.9,40058,1,0.025562934
119,std,1024,0.125,0.1,4.9,50058,1,0.020456271
120,rte,1024,0.125,0.1,4.9,50058,1,0.020456271
121,std,1024,0.125,0.1,4.9,60058,1,0.017050185
122,rte,1024,0.125,0.1,4.9,60058,1,0.017050185
123,std,1024,0.125,0.1,4.9,70058,1,0.014616461
124,rte,1024,0.125,0.1,4.9,70058,1,0.014616461
125,std,1024,0.125,0.1,4.9,80058,1,0.012790727
126,rte,1024,0.125,0.1,4.9,80058,1,0.012790727
127,std,1024,0.125,0.1,5.7,58,1,17.65517241
128,rte,1024,0.125,0.1,5.7,58,1,17.65517241
129,std,1024,0.125,0.1,5.7,10058,1,0.101809505
130,rte,1024,0.125,0.1,5.7,10058,1,0.101809505
131,std,1024,0.125,0.1,5.7,20058,1,0.051051949
132,rte,1024,0.125,0.1,5.7,20058,1,0.051051949
133,std,1024,0.125,0.1,5.7,30058,1,0.03406747
134,rte,1024,0.125,0.1,5.7,30058,1,0.03406747
135,std,1024,0.125,0.1,5.7,40058,1,0.025562934
136,rte,1024,0.125,0.1,5.7,40058,1,0.025562934
137,std,1024,0.125,0.1,5.7,50058,1,0.020456271
138,rte,1024,0.125,0.1,5.7,50058,1,0.020456271
139,std,1024,0.125,0.1,5.7,60058,1,0.017050185
140,rte,1024,0.125,0.1,5.7,60058,1,0.017050185
141,std,1024,0.125,0.1,5.7,70058,1,0.014616461
142,rte,1024,0.125,0.1,5.7,70058,1,0.014616461
143,std,1024,0.125,0.1,5.7,80058,1,0.012790727
144,rte,1024,0.125,0.1,5.7,80058,1,0.012790727
1153,std,1024,2.625,0.1,0.1,58,2,35.31034483
1154,rte,1024,2.625,0.1,0.1,58,1,17.65517241
1155,std,1024,2.625,0.1,0.1,10058,249,25.35056671
1156,rte,1024,2.625,0.1,0.1,10058,125,12.72618811
1157,std,1024,2.625,0.1,0.1,20058,495,25.27071493
1158,rte,1024,2.625,0.1,0.1,20058,248,12.66088344
1159,std,1024,2.625,0.1,0.1,30058,742,25.27806241
1160,rte,1024,2.625,0.1,0.1,30058,371,12.63903121
1161,std,1024,2.625,0.1,0.1,40058,988,25.25617854
1162,rte,1024,2.625,0.1,0.1,40058,494,12.62808927
1163,std,1024,2.625,0.1,0.1,50058,1235,25.26349435
1164,rte,1024,2.625,0.1,0.1,50058,618,12.64197531
1165,std,1024,2.625,0.1,0.1,60058,1481,25.25132372
1166,rte,1024,2.625,0.1,0.1,60058,741,12.63418695
1167,std,1024,2.625,0.1,0.1,70058,1728,25.257244
1168,rte,1024,2.625,0.1,0.1,70058,864,12.628622
1169,std,1024,2.625,0.1,0.1,80058,1975,25.26168528
1170,rte,1024,2.625,0.1,0.1,80058,988,12.637238
1171,std,1024,2.625,0.1,0.9,58,1,17.65517241
1172,rte,1024,2.625,0.1,0.9,58,1,17.65517241
1173,std,1024,2.625,0.1,0.9,10058,28,2.850666136
1174,rte,1024,2.625,0.1,0.9,10058,25,2.545237622
1175,std,1024,2.625,0.1,0.9,20058,55,2.807857214
1176,rte,1024,2.625,0.1,0.9,20058,50,2.552597467
1177,std,1024,2.625,0.1,0.9,30058,83,2.827599973
1178,rte,1024,2.625,0.1,0.9,30058,75,2.555060217
1179,std,1024,2.625,0.1,0.9,40058,110,2.811922712
1180,rte,1024,2.625,0.1,0.9,40058,99,2.530730441
1181,std,1024,2.625,0.1,0.9,50058,138,2.82296536
1182,rte,1024,2.625,0.1,0.9,50058,124,2.53657757
1183,std,1024,2.625,0.1,0.9,60058,165,2.813280496
1184,rte,1024,2.625,0.1,0.9,60058,149,2.540477538
1185,std,1024,2.625,0.1,0.9,70058,192,2.806360444
1186,rte,1024,2.625,0.1,0.9,70058,173,2.528647692
1187,std,1024,2.625,0.1,0.9,80058,220,2.813959879
1188,rte,1024,2.625,0.1,0.9,80058,198,2.532563891
1189,std,1024,2.625,0.1,1.7,58,1,17.65517241
1190,rte,1024,2.625,0.1,1.7,58,1,17.65517241
1191,std,1024,2.625,0.1,1.7,10058,15,1.527142573
1192,rte,1024,2.625,0.1,1.7,10058,14,1.425333068
1193,std,1024,2.625,0.1,1.7,20058,30,1.53155848
1194,rte,1024,2.625,0.1,1.7,20058,28,1.429454582
1195,std,1024,2.625,0.1,1.7,30058,44,1.498968661
1196,rte,1024,2.625,0.1,1.7,30058,42,1.430833721
1197,std,1024,2.625,0.1,1.7,40058,59,1.508213091
1198,rte,1024,2.625,0.1,1.7,40058,55,1.405961356
1199,std,1024,2.625,0.1,1.7,50058,73,1.493307763
1200,rte,1024,2.625,0.1,1.7,50058,69,1.41148268
1201,std,1024,2.625,0.1,1.7,60058,88,1.500416264
1202,rte,1024,2.625,0.1,1.7,60058,83,1.41516534
1203,std,1024,2.625,0.1,1.7,70058,102,1.490878986
1204,rte,1024,2.625,0.1,1.7,70058,96,1.403180222
1205,std,1024,2.625,0.1,1.7,80058,117,1.496515027
1206,rte,1024,2.625,0.1,1.7,80058,110,1.40697994
1207,std,1024,2.625,0.1,2.5,58,1,17.65517241
1208,rte,1024,2.625,0.1,2.5,58,1,17.65517241
1209,std,1024,2.625,0.1,2.5,10058,10,1.018095049
1210,rte,1024,2.625,0.1,2.5,10058,10,1.018095049
1211,std,1024,2.625,0.1,2.5,20058,20,1.021038987
1212,rte,1024,2.625,0.1,2.5,20058,20,1.021038987
1213,std,1024,2.625,0.1,2.5,30058,30,1.022024087
1214,rte,1024,2.625,0.1,2.5,30058,29,0.987956617
1215,std,1024,2.625,0.1,2.5,40058,40,1.02251735
1216,rte,1024,2.625,0.1,2.5,40058,38,0.971391482
1217,std,1024,2.625,0.1,2.5,50058,50,1.022813536
1218,rte,1024,2.625,0.1,2.5,50058,48,0.981900995
1219,std,1024,2.625,0.1,2.5,60058,60,1.023011089
1220,rte,1024,2.625,0.1,2.5,60058,57,0.971860535
1221,std,1024,2.625,0.1,2.5,70058,70,1.023152245
1222,rte,1024,2.625,0.1,2.5,70058,67,0.979302863
1223,std,1024,2.625,0.1,2.5,80058,79,1.010467411
1224,rte,1024,2.625,0.1,2.5,80058,76,0.972095231
1225,std,1024,2.625,0.1,3.3,58,1,17.65517241
1226,rte,1024,2.625,0.1,3.3,58,1,17.65517241
1227,std,1024,2.625,0.1,3.3,10058,8,0.814476039
1228,rte,1024,2.625,0.1,3.3,10058,8,0.814476039
1229,std,1024,2.625,0.1,3.3,20058,15,0.76577924
1230,rte,1024,2.625,0.1,3.3,20058,15,0.76577924
1231,std,1024,2.625,0.1,3.3,30058,23,0.7835518
1232,rte,1024,2.625,0.1,3.3,30058,22,0.74948433
1233,std,1024,2.625,0.1,3.3,40058,30,0.766888012
1234,rte,1024,2.625,0.1,3.3,40058,30,0.766888012
1235,std,1024,2.625,0.1,3.3,50058,38,0.777338288
1236,rte,1024,2.625,0.1,3.3,50058,37,0.756882017
1237,std,1024,2.625,0.1,3.3,60058,45,0.767258317
1238,rte,1024,2.625,0.1,3.3,60058,44,0.750208132
1239,std,1024,2.625,0.1,3.3,70058,53,0.774672414
1240,rte,1024,2.625,0.1,3.3,70058,51,0.745439493
1241,std,1024,2.625,0.1,3.3,80058,60,0.767443603
1242,rte,1024,2.625,0.1,3.3,80058,59,0.754652877
1243,std,1024,2.625,0.1,4.1,58,1,17.65517241
1244,rte,1024,2.625,0.1,4.1,58,1,17.65517241
1245,std,1024,2.625,0.1,4.1,10058,7,0.712666534
1246,rte,1024,2.625,0.1,4.1,10058,6,0.610857029
1247,std,1024,2.625,0.1,4.1,20058,13,0.663675342
1248,rte,1024,2.625,0.1,4.1,20058,12,0.612623392
1249,std,1024,2.625,0.1,4.1,30058,19,0.647281922
1250,rte,1024,2.625,0.1,4.1,30058,18,0.613214452
1251,std,1024,2.625,0.1,4.1,40058,25,0.639073344
1252,rte,1024,2.625,0.1,4.1,40058,24,0.61351041
1253,std,1024,2.625,0.1,4.1,50058,31,0.634144393
1254,rte,1024,2.625,0.1,4.1,50058,30,0.613688122
1255,std,1024,2.625,0.1,4.1,60058,37,0.630856838
1256,rte,1024,2.625,0.1,4.1,60058,36,0.613806654
1257,std,1024,2.625,0.1,4.1,70058,43,0.628507808
1258,rte,1024,2.625,0.1,4.1,70058,42,0.613891347
1259,std,1024,2.625,0.1,4.1,80058,49,0.626745609
1260,rte,1024,2.625,0.1,4.1,80058,48,0.613954883
1261,std,1024,2.625,0.1,4.9,58,1,17.65517241
1262,rte,1024,2.625,0.1,4.9,58,1,17.65517241
1263,std,1024,2.625,0.1,4.9,10058,6,0.610857029
1264,rte,1024,2.625,0.1,4.9,10058,5,0.509047524
1265,std,1024,2.625,0.1,4.9,20058,11,0.561571443
1266,rte,1024,2.625,0.1,4.9,20058,10,0.510519493
1267,std,1024,2.625,0.1,4.9,30058,16,0.545079513
1268,rte,1024,2.625,0.1,4.9,30058,15,0.511012043
1269,std,1024,2.625,0.1,4.9,40058,21,0.536821609
1270,rte,1024,2.625,0.1,4.9,40058,20,0.511258675
1271,std,1024,2.625,0.1,4.9,50058,26,0.531863039
1272,rte,1024,2.625,0.1,4.9,50058,25,0.511406768
1273,std,1024,2.625,0.1,4.9,60058,31,0.528555729
1274,rte,1024,2.625,0.1,4.9,60058,30,0.511505545
1275,std,1024,2.625,0.1,4.9,70058,36,0.526192583
1276,rte,1024,2.625,0.1,4.9,70058,35,0.511576123
1277,std,1024,2.625,0.1,4.9,80058,41,0.524419796
1278,rte,1024,2.625,0.1,4.9,80058,40,0.511629069
1279,std,1024,2.625,0.1,5.7,58,1,17.65517241
1280,rte,1024,2.625,0.1,5.7,58,1,17.65517241
1281,std,1024,2.625,0.1,5.7,10058,5,0.509047524
1282,rte,1024,2.625,0.1,5.7,10058,5,0.509047524
1283,std,1024,2.625,0.1,5.7,20058,9,0.459467544
1284,rte,1024,2.625,0.1,5.7,20058,9,0.459467544
1285,std,1024,2.625,0.1,5.7,30058,14,0.476944574
1286,rte,1024,2.625,0.1,5.7,30058,13,0.442877104
1287,std,1024,2.625,0.1,5.7,40058,18,0.460132807
1288,rte,1024,2.625,0.1,5.7,40058,18,0.460132807
1289,std,1024,2.625,0.1,5.7,50058,22,0.450037956
1290,rte,1024,2.625,0.1,5.7,50058,22,0.450037956
