"","Packet.Size","Initial.Energy.joules.","Transmission.Power.Watts.","Reception.Power.Watts.","Connection.Data.Rate.bits.sec.","Packets.Sent","Time.to.Compromise.seconds."
"215",1024,2.625,0.1,2.5,80058,79,1.010467411
"217",1024,2.625,0.1,3.3,58,1,17.65517241
"219",1024,2.625,0.1,3.3,10058,8,0.814476039
"221",1024,2.625,0.1,3.3,20058,15,0.76577924
"223",1024,2.625,0.1,3.3,30058,23,0.7835518
"225",1024,2.625,0.1,3.3,40058,30,0.766888012
"227",1024,2.625,0.1,3.3,50058,38,0.777338288
"229",1024,2.625,0.1,3.3,60058,45,0.767258317
"231",1024,2.625,0.1,3.3,70058,53,0.774672414
"233",1024,2.625,0.1,3.3,80058,60,0.767443603
"235",1024,2.625,0.1,4.1,58,1,17.65517241
"237",1024,2.625,0.1,4.1,10058,7,0.712666534
"239",1024,2.625,0.1,4.1,20058,13,0.663675342
"241",1024,2.625,0.1,4.1,30058,19,0.647281922
"243",1024,2.625,0.1,4.1,40058,25,0.639073344
"245",1024,2.625,0.1,4.1,50058,31,0.634144393
"247",1024,2.625,0.1,4.1,60058,37,0.630856838
"249",1024,2.625,0.1,4.1,70058,43,0.628507808
"251",1024,2.625,0.1,4.1,80058,49,0.626745609
"253",1024,2.625,0.1,4.9,58,1,17.65517241
"255",1024,2.625,0.1,4.9,10058,6,0.610857029
"257",1024,2.625,0.1,4.9,20058,11,0.561571443
"259",1024,2.625,0.1,4.9,30058,16,0.545079513
"261",1024,2.625,0.1,4.9,40058,21,0.536821609
"263",1024,2.625,0.1,4.9,50058,26,0.531863039
"265",1024,2.625,0.1,4.9,60058,31,0.528555729
"267",1024,2.625,0.1,4.9,70058,36,0.526192583
"269",1024,2.625,0.1,4.9,80058,41,0.524419796
"271",1024,2.625,0.1,5.7,58,1,17.65517241
"273",1024,2.625,0.1,5.7,10058,5,0.509047524
"275",1024,2.625,0.1,5.7,20058,9,0.459467544
"277",1024,2.625,0.1,5.7,30058,14,0.476944574
"279",1024,2.625,0.1,5.7,40058,18,0.460132807
"281",1024,2.625,0.1,5.7,50058,22,0.450037956
"283",1024,2.625,0.1,5.7,60058,26,0.443304805
"285",1024,2.625,0.1,5.7,70058,31,0.45311028
"287",1024,2.625,0.1,5.7,80058,35,0.447675435
"289",1024,2.625,0.9,0.1,58,1,17.65517241
"291",1024,2.625,0.9,0.1,10058,170,17.30761583
"293",1024,2.625,0.9,0.1,20058,338,17.25555888
"295",1024,2.625,0.9,0.1,30058,507,17.27220707
"297",1024,2.625,0.9,0.1,40058,675,17.25498028
"299",1024,2.625,0.9,0.1,50058,844,17.26509249
"301",1024,2.625,0.9,0.1,60058,1012,17.25478704
"303",1024,2.625,0.9,0.1,70058,1181,17.26204002
"305",1024,2.625,0.9,0.1,80058,1349,17.25469035
"307",1024,2.625,0.9,0.9,58,1,17.65517241
"309",1024,2.625,0.9,0.9,10058,19,1.934380593
"311",1024,2.625,0.9,0.9,20058,38,1.939974075
"313",1024,2.625,0.9,0.9,30058,57,1.941845765
"315",1024,2.625,0.9,0.9,40058,75,1.917220031
"317",1024,2.625,0.9,0.9,50058,94,1.922889448
"319",1024,2.625,0.9,0.9,60058,113,1.926670885
