Attack Type, Packet Size, Initial Energy(joules), Transmission Power(Watts), Reception Power(Watts),Connection Data Rate(bits/sec), Packets Sent, Time to Compromise(seconds)
rte,1024,10.125,4.9,0.1,20058,21,1.07209093628
std,1024,10.125,4.9,0.1,30058,1534,52.2594983033
rte,1024,10.125,4.9,0.1,30058,31,1.05609155632
std,1024,10.125,4.9,0.1,40058,2044,52.250636577
rte,1024,10.125,4.9,0.1,40058,41,1.04808028359
std,1024,10.125,4.9,0.1,50058,2555,52.2657717048
rte,1024,10.125,4.9,0.1,50058,52,1.06372607775
std,1024,10.125,4.9,0.1,60058,3065,52.2588164774
rte,1024,10.125,4.9,0.1,60058,62,1.05711145892
std,1024,10.125,4.9,0.1,70058,3575,52.2538468126
rte,1024,10.125,4.9,0.1,70058,72,1.05238516658
std,1024,10.125,4.9,0.1,80058,4085,52.250118664
rte,1024,10.125,4.9,0.1,80058,82,1.0488395913
std,1024,10.125,4.9,0.9,58,1,17.6551724138
rte,1024,10.125,4.9,0.9,58,1,17.6551724138
std,1024,10.125,4.9,0.9,10058,58,5.90495128256
rte,1024,10.125,4.9,0.9,10058,9,0.916285543846
std,1024,10.125,4.9,0.9,20058,114,5.81992222555
rte,1024,10.125,4.9,0.9,20058,18,0.918935088244
std,1024,10.125,4.9,0.9,30058,171,5.82553729456
rte,1024,10.125,4.9,0.9,30058,27,0.919821678089
std,1024,10.125,4.9,0.9,40058,228,5.8283488941
rte,1024,10.125,4.9,0.9,40058,36,0.920265614858
std,1024,10.125,4.9,0.9,50058,284,5.80958088617
rte,1024,10.125,4.9,0.9,50058,45,0.920532182668
std,1024,10.125,4.9,0.9,60058,341,5.81411302408
rte,1024,10.125,4.9,0.9,60058,53,0.903659795531
std,1024,10.125,4.9,0.9,70058,398,5.81735133746
rte,1024,10.125,4.9,0.9,70058,62,0.906220560107
std,1024,10.125,4.9,0.9,80058,454,5.8069899323
rte,1024,10.125,4.9,0.9,80058,71,0.908141597342
std,1024,10.125,4.9,1.7,58,1,17.6551724138
rte,1024,10.125,4.9,1.7,58,1,17.6551724138
std,1024,10.125,4.9,1.7,10058,31,3.15609465102
rte,1024,10.125,4.9,1.7,10058,8,0.814476038974
std,1024,10.125,4.9,1.7,20058,61,3.11416891016
rte,1024,10.125,4.9,1.7,20058,16,0.81683118955
std,1024,10.125,4.9,1.7,30058,91,3.10013972986
rte,1024,10.125,4.9,1.7,30058,24,0.817619269412
std,1024,10.125,4.9,1.7,40058,121,3.09311498327
rte,1024,10.125,4.9,1.7,40058,31,0.792450946128
std,1024,10.125,4.9,1.7,50058,151,3.08889687962
rte,1024,10.125,4.9,1.7,50058,39,0.797794558312
std,1024,10.125,4.9,1.7,60058,181,3.08608345266
rte,1024,10.125,4.9,1.7,60058,47,0.801358686603
std,1024,10.125,4.9,1.7,70058,211,3.08407319649
rte,1024,10.125,4.9,1.7,70058,55,0.803905335579
std,1024,10.125,4.9,1.7,80058,241,3.08256514027
rte,1024,10.125,4.9,1.7,80058,62,0.793025056834
std,1024,10.125,4.9,2.5,58,1,17.6551724138
rte,1024,10.125,4.9,2.5,58,1,17.6551724138
std,1024,10.125,4.9,2.5,10058,21,2.13799960231
rte,1024,10.125,4.9,2.5,10058,7,0.712666534102
std,1024,10.125,4.9,2.5,20058,41,2.09312992322
rte,1024,10.125,4.9,2.5,20058,14,0.714727290857
std,1024,10.125,4.9,2.5,30058,62,2.11218311265
rte,1024,10.125,4.9,2.5,30058,21,0.715416860736
std,1024,10.125,4.9,2.5,40058,82,2.09616056718
rte,1024,10.125,4.9,2.5,40058,28,0.71576214489
std,1024,10.125,4.9,2.5,50058,103,2.10699588477
rte,1024,10.125,4.9,2.5,50058,35,0.715969475409
std,1024,10.125,4.9,2.5,60058,123,2.09717273302
rte,1024,10.125,4.9,2.5,60058,42,0.716107762496
std,1024,10.125,4.9,2.5,70058,143,2.09015387251
rte,1024,10.125,4.9,2.5,70058,49,0.716206571698
std,1024,10.125,4.9,2.5,80058,164,2.09767918259
rte,1024,10.125,4.9,2.5,80058,56,0.716280696495
std,1024,10.125,4.9,3.3,58,1,17.6551724138
rte,1024,10.125,4.9,3.3,58,1,17.6551724138
std,1024,10.125,4.9,3.3,10058,16,1.62895207795
rte,1024,10.125,4.9,3.3,10058,7,0.712666534102
std,1024,10.125,4.9,3.3,20058,32,1.6336623791
rte,1024,10.125,4.9,3.3,20058,13,0.66367534151
std,1024,10.125,4.9,3.3,30058,47,1.60117106927
rte,1024,10.125,4.9,3.3,30058,19,0.647281921618
std,1024,10.125,4.9,3.3,40058,62,1.58490189226
rte,1024,10.125,4.9,3.3,40058,25,0.639073343652
std,1024,10.125,4.9,3.3,50058,78,1.59558911662
rte,1024,10.125,4.9,3.3,50058,32,0.654600663231
std,1024,10.125,4.9,3.3,60058,93,1.58566718838
rte,1024,10.125,4.9,3.3,60058,38,0.647907023211
std,1024,10.125,4.9,3.3,70058,109,1.59319421051
rte,1024,10.125,4.9,3.3,70058,44,0.643124268463
std,1024,10.125,4.9,3.3,80058,124,1.58605011367
rte,1024,10.125,4.9,3.3,80058,50,0.639536336156
std,1024,10.125,4.9,4.1,58,1,17.6551724138
rte,1024,10.125,4.9,4.1,58,1,17.6551724138
std,1024,10.125,4.9,4.1,10058,13,1.32352356333
rte,1024,10.125,4.9,4.1,10058,6,0.61085702923
std,1024,10.125,4.9,4.1,20058,25,1.27629873367
rte,1024,10.125,4.9,4.1,20058,12,0.612623392163
std,1024,10.125,4.9,4.1,30058,38,1.29456384324
rte,1024,10.125,4.9,4.1,30058,18,0.613214452059
std,1024,10.125,4.9,4.1,40058,50,1.2781466873
rte,1024,10.125,4.9,4.1,40058,23,0.58794747616
std,1024,10.125,4.9,4.1,50058,63,1.28874505574
rte,1024,10.125,4.9,4.1,50058,29,0.593231851053
std,1024,10.125,4.9,4.1,60058,75,1.2787638616
rte,1024,10.125,4.9,4.1,60058,35,0.596756468747
std,1024,10.125,4.9,4.1,70058,88,1.28624853693
rte,1024,10.125,4.9,4.1,70058,40,0.584658425876
std,1024,10.125,4.9,4.1,80058,100,1.27907267231
rte,1024,10.125,4.9,4.1,80058,46,0.588373429264
std,1024,10.125,4.9,4.9,58,1,17.6551724138
rte,1024,10.125,4.9,4.9,58,1,17.6551724138
std,1024,10.125,4.9,4.9,10058,11,1.11990455359
rte,1024,10.125,4.9,4.9,10058,6,0.61085702923
std,1024,10.125,4.9,4.9,20058,21,1.07209093628
rte,1024,10.125,4.9,4.9,20058,11,0.561571442816
std,1024,10.125,4.9,4.9,30058,32,1.09015902588
rte,1024,10.125,4.9,4.9,30058,16,0.545079512942
std,1024,10.125,4.9,4.9,40058,42,1.07364321733
rte,1024,10.125,4.9,4.9,40058,21,0.536821608667
std,1024,10.125,4.9,4.9,50058,53,1.08418234848
rte,1024,10.125,4.9,4.9,50058,27,0.552319309601
std,1024,10.125,4.9,4.9,60058,63,1.07416164374
rte,1024,10.125,4.9,4.9,60058,32,0.545605914283
std,1024,10.125,4.9,4.9,70058,73,1.06700162722
rte,1024,10.125,4.9,4.9,70058,37,0.540809043935
std,1024,10.125,4.9,4.9,80058,84,1.07442104474
rte,1024,10.125,4.9,4.9,80058,42,0.537210522371
std,1024,10.125,4.9,5.7,58,1,17.6551724138
rte,1024,10.125,4.9,5.7,58,1,17.6551724138
std,1024,10.125,4.9,5.7,10058,10,1.01809504872
rte,1024,10.125,4.9,5.7,10058,5,0.509047524359
std,1024,10.125,4.9,5.7,20058,18,0.918935088244
rte,1024,10.125,4.9,5.7,20058,10,0.510519493469
std,1024,10.125,4.9,5.7,30058,27,0.919821678089
rte,1024,10.125,4.9,5.7,30058,15,0.511012043383
std,1024,10.125,4.9,5.7,40058,36,0.920265614858
rte,1024,10.125,4.9,5.7,40058,20,0.511258674921
std,1024,10.125,4.9,5.7,50058,45,0.920532182668
rte,1024,10.125,4.9,5.7,50058,25,0.511406768149
std,1024,10.125,4.9,5.7,60058,54,0.920709980352
rte,1024,10.125,4.9,5.7,60058,29,0.494455359819
std,1024,10.125,4.9,5.7,70058,63,0.920837020754
rte,1024,10.125,4.9,5.7,70058,34,0.496959661994
std,1024,10.125,4.9,5.7,80058,72,0.920932324065
rte,1024,10.125,4.9,5.7,80058,39,0.498838342202
std,1024,10.125,5.7,0.1,58,3,52.9655172414
rte,1024,10.125,5.7,0.1,58,1,17.6551724138
std,1024,10.125,5.7,0.1,10058,435,44.2871346192
rte,1024,10.125,5.7,0.1,10058,8,0.814476038974
std,1024,10.125,5.7,0.1,20058,867,44.2620400838
rte,1024,10.125,5.7,0.1,20058,15,0.765779240203
std,1024,10.125,5.7,0.1,30058,1299,44.253642957
rte,1024,10.125,5.7,0.1,30058,23,0.783551799854
std,1024,10.125,5.7,0.1,40058,1732,44.2750012482
rte,1024,10.125,5.7,0.1,40058,30,0.766888012382
std,1024,10.125,5.7,0.1,50058,2164,44.267369851
rte,1024,10.125,5.7,0.1,50058,38,0.777338287586
std,1024,10.125,5.7,0.1,60058,2596,44.2622797962
rte,1024,10.125,5.7,0.1,60058,45,0.76725831696
std,1024,10.125,5.7,0.1,70058,3028,44.2586428388
rte,1024,10.125,5.7,0.1,70058,53,0.774672414285
std,1024,10.125,5.7,0.1,80058,3460,44.255914462
rte,1024,10.125,5.7,0.1,80058,60,0.767443603388
std,1024,10.125,5.7,0.9,58,1,17.6551724138
rte,1024,10.125,5.7,0.9,58,1,17.6551724138
std,1024,10.125,5.7,0.9,10058,49,4.98866573872
rte,1024,10.125,5.7,0.9,10058,7,0.712666534102
std,1024,10.125,5.7,0.9,20058,97,4.95203908665
rte,1024,10.125,5.7,0.9,20058,14,0.714727290857
std,1024,10.125,5.7,0.9,30058,145,4.93978308603
rte,1024,10.125,5.7,0.9,30058,20,0.681349391177
std,1024,10.125,5.7,0.9,40058,193,4.93364621299
rte,1024,10.125,5.7,0.9,40058,27,0.690199211144
std,1024,10.125,5.7,0.9,50058,241,4.92996124496
rte,1024,10.125,5.7,0.9,50058,33,0.675056933957
std,1024,10.125,5.7,0.9,60058,289,4.92750341337
rte,1024,10.125,5.7,0.9,60058,40,0.682007392854
std,1024,10.125,5.7,0.9,70058,337,4.925747238
rte,1024,10.125,5.7,0.9,70058,46,0.672357189757
std,1024,10.125,5.7,0.9,80058,385,4.9244297884
rte,1024,10.125,5.7,0.9,80058,53,0.677908516326
std,1024,10.125,5.7,1.7,58,1,17.6551724138
rte,1024,10.125,5.7,1.7,58,1,17.6551724138
std,1024,10.125,5.7,1.7,10058,26,2.64704712667
rte,1024,10.125,5.7,1.7,10058,6,0.61085702923
std,1024,10.125,5.7,1.7,20058,51,2.60364941669
rte,1024,10.125,5.7,1.7,20058,12,0.612623392163
std,1024,10.125,5.7,1.7,30058,77,2.62319515603
rte,1024,10.125,5.7,1.7,30058,18,0.613214452059
std,1024,10.125,5.7,1.7,40058,102,2.6074192421
rte,1024,10.125,5.7,1.7,40058,24,0.613510409906
std,1024,10.125,5.7,1.7,50058,128,2.61840265292
rte,1024,10.125,5.7,1.7,50058,30,0.613688121779
std,1024,10.125,5.7,1.7,60058,153,2.60867827766
rte,1024,10.125,5.7,1.7,60058,36,0.613806653568
std,1024,10.125,5.7,1.7,70058,179,2.61634645579
rte,1024,10.125,5.7,1.7,70058,41,0.599274886523
std,1024,10.125,5.7,1.7,80058,204,2.60930825152
rte,1024,10.125,5.7,1.7,80058,47,0.601164155987
std,1024,10.125,5.7,2.5,58,1,17.6551724138
rte,1024,10.125,5.7,2.5,58,1,17.6551724138
std,1024,10.125,5.7,2.5,10058,18,1.83257108769
rte,1024,10.125,5.7,2.5,10058,6,0.61085702923
std,1024,10.125,5.7,2.5,20058,35,1.78681822714
rte,1024,10.125,5.7,2.5,20058,11,0.561571442816
std,1024,10.125,5.7,2.5,30058,52,1.77150841706
rte,1024,10.125,5.7,2.5,30058,16,0.545079512942
std,1024,10.125,5.7,2.5,40058,70,1.78940536222
rte,1024,10.125,5.7,2.5,40058,22,0.562384542414
std,1024,10.125,5.7,2.5,50058,87,1.77969555316
rte,1024,10.125,5.7,2.5,50058,27,0.552319309601
std,1024,10.125,5.7,2.5,60058,104,1.77321922142
rte,1024,10.125,5.7,2.5,60058,32,0.545605914283
std,1024,10.125,5.7,2.5,70058,122,1.78320819892
rte,1024,10.125,5.7,2.5,70058,37,0.540809043935
std,1024,10.125,5.7,2.5,80058,139,1.77791101451
rte,1024,10.125,5.7,2.5,80058,43,0.550001249094
std,1024,10.125,5.7,3.3,58,1,17.6551724138
rte,1024,10.125,5.7,3.3,58,1,17.6551724138
std,1024,10.125,5.7,3.3,10058,14,1.4253330682
rte,1024,10.125,5.7,3.3,10058,5,0.509047524359
std,1024,10.125,5.7,3.3,20058,27,1.37840263237
rte,1024,10.125,5.7,3.3,20058,10,0.510519493469
std,1024,10.125,5.7,3.3,30058,40,1.36269878235
rte,1024,10.125,5.7,3.3,30058,15,0.511012043383
std,1024,10.125,5.7,3.3,40058,53,1.35483548854
rte,1024,10.125,5.7,3.3,40058,20,0.511258674921
std,1024,10.125,5.7,3.3,50058,66,1.35011386791
rte,1024,10.125,5.7,3.3,50058,25,0.511406768149
std,1024,10.125,5.7,3.3,60058,79,1.34696460089
rte,1024,10.125,5.7,3.3,60058,29,0.494455359819
std,1024,10.125,5.7,3.3,70058,92,1.34471437951
rte,1024,10.125,5.7,3.3,70058,34,0.496959661994
std,1024,10.125,5.7,3.3,80058,105,1.34302630593
rte,1024,10.125,5.7,3.3,80058,39,0.498838342202
std,1024,10.125,5.7,4.1,58,1,17.6551724138
rte,1024,10.125,5.7,4.1,58,1,17.6551724138
std,1024,10.125,5.7,4.1,10058,11,1.11990455359
rte,1024,10.125,5.7,4.1,10058,5,0.509047524359
std,1024,10.125,5.7,4.1,20058,22,1.12314288563
rte,1024,10.125,5.7,4.1,20058,9,0.459467544122
std,1024,10.125,5.7,4.1,30058,32,1.09015902588
rte,1024,10.125,5.7,4.1,30058,14,0.476944573824
std,1024,10.125,5.7,4.1,40058,43,1.09920615108
rte,1024,10.125,5.7,4.1,40058,18,0.460132807429
std,1024,10.125,5.7,4.1,50058,53,1.08418234848
rte,1024,10.125,5.7,4.1,50058,23,0.470494226697
std,1024,10.125,5.7,4.1,60058,64,1.09121182857
rte,1024,10.125,5.7,4.1,60058,27,0.460354990176
std,1024,10.125,5.7,4.1,70058,74,1.08161808787
rte,1024,10.125,5.7,4.1,70058,31,0.453110280054
std,1024,10.125,5.7,4.1,80058,85,1.08721177147
rte,1024,10.125,5.7,4.1,80058,36,0.460466162033
std,1024,10.125,5.7,4.9,58,1,17.6551724138
rte,1024,10.125,5.7,4.9,58,1,17.6551724138
std,1024,10.125,5.7,4.9,10058,9,0.916285543846
rte,1024,10.125,5.7,4.9,10058,5,0.509047524359
std,1024,10.125,5.7,4.9,20058,18,0.918935088244
rte,1024,10.125,5.7,4.9,20058,9,0.459467544122
std,1024,10.125,5.7,4.9,30058,27,0.919821678089
rte,1024,10.125,5.7,4.9,30058,13,0.442877104265
std,1024,10.125,5.7,4.9,40058,36,0.920265614858
rte,1024,10.125,5.7,4.9,40058,17,0.434569873683
std,1024,10.125,5.7,4.9,50058,45,0.920532182668
rte,1024,10.125,5.7,4.9,50058,21,0.429581685245
std,1024,10.125,5.7,4.9,60058,53,0.903659795531
rte,1024,10.125,5.7,4.9,60058,25,0.426254620533
std,1024,10.125,5.7,4.9,70058,62,0.906220560107
rte,1024,10.125,5.7,4.9,70058,29,0.42387735876
std,1024,10.125,5.7,4.9,80058,71,0.908141597342
rte,1024,10.125,5.7,4.9,80058,33,0.422093981863
std,1024,10.125,5.7,5.7,58,1,17.6551724138
rte,1024,10.125,5.7,5.7,58,1,17.6551724138
std,1024,10.125,5.7,5.7,10058,8,0.814476038974
rte,1024,10.125,5.7,5.7,10058,4,0.407238019487
std,1024,10.125,5.7,5.7,20058,16,0.81683118955
rte,1024,10.125,5.7,5.7,20058,8,0.408415594775
std,1024,10.125,5.7,5.7,30058,23,0.783551799854
rte,1024,10.125,5.7,5.7,30058,12,0.408809634706
std,1024,10.125,5.7,5.7,40058,31,0.792450946128
rte,1024,10.125,5.7,5.7,40058,16,0.409006939937
std,1024,10.125,5.7,5.7,50058,38,0.777338287586
rte,1024,10.125,5.7,5.7,50058,19,0.388669143793
std,1024,10.125,5.7,5.7,60058,46,0.784308501782
rte,1024,10.125,5.7,5.7,60058,23,0.392154250891
std,1024,10.125,5.7,5.7,70058,54,0.789288874932
rte,1024,10.125,5.7,5.7,70058,27,0.394644437466
std,1024,10.125,5.7,5.7,80058,61,0.780234330111
rte,1024,10.125,5.7,5.7,80058,31,0.396512528417
std,1024,12.625,0.1,0.1,58,8,141.24137931
rte,1024,12.625,0.1,0.1,58,4,70.6206896552
std,1024,12.625,0.1,0.1,10058,1231,125.327500497
rte,1024,12.625,0.1,0.1,10058,616,62.714655001
std,1024,12.625,0.1,0.1,20058,2454,125.281483697
rte,1024,12.625,0.1,0.1,20058,1227,62.6407418486
std,1024,12.625,0.1,0.1,30058,3677,125.266085568
rte,1024,12.625,0.1,0.1,30058,1839,62.6500765187
std,1024,12.625,0.1,0.1,40058,4900,125.258375356
rte,1024,12.625,0.1,0.1,40058,2450,62.6291876779
std,1024,12.625,0.1,0.1,50058,6123,125.253745655
rte,1024,12.625,0.1,0.1,50058,3062,62.6371009629
std,1024,12.625,0.1,0.1,60058,7346,125.250657698
rte,1024,12.625,0.1,0.1,60058,3673,62.6253288488
std,1024,12.625,0.1,0.1,70058,8570,125.263067744
rte,1024,12.625,0.1,0.1,70058,4285,62.6315338719
std,1024,12.625,0.1,0.1,80058,9793,125.2595868
rte,1024,12.625,0.1,0.1,80058,4897,62.6361887631
std,1024,12.625,0.1,0.9,58,1,17.6551724138
rte,1024,12.625,0.1,0.9,58,1,17.6551724138
std,1024,12.625,0.1,0.9,10058,137,13.9479021674
rte,1024,12.625,0.1,0.9,10058,124,12.6243786041
std,1024,12.625,0.1,0.9,20058,273,13.9371821717
rte,1024,12.625,0.1,0.9,20058,246,12.5587795393
std,1024,12.625,0.1,0.9,30058,409,13.9335950496
rte,1024,12.625,0.1,0.9,30058,368,12.5368287977
std,1024,12.625,0.1,0.9,40058,545,13.9317988916
rte,1024,12.625,0.1,0.9,40058,490,12.5258375356
std,1024,12.625,0.1,0.9,50058,681,13.9307203644
rte,1024,12.625,0.1,0.9,50058,613,12.539693955
std,1024,12.625,0.1,0.9,60058,817,13.930000999
rte,1024,12.625,0.1,0.9,60058,735,12.5318858437
std,1024,12.625,0.1,0.9,70058,953,13.9294869965
rte,1024,12.625,0.1,0.9,70058,857,12.5263067744
std,1024,12.625,0.1,0.9,80058,1089,13.9291014015
rte,1024,12.625,0.1,0.9,80058,980,12.5349121887
std,1024,12.625,0.1,1.7,58,1,17.6551724138
rte,1024,12.625,0.1,1.7,58,1,17.6551724138
std,1024,12.625,0.1,1.7,10058,73,7.43209385564
rte,1024,12.625,0.1,1.7,10058,69,7.02485583615
std,1024,12.625,0.1,1.7,20058,145,7.4025326553
rte,1024,12.625,0.1,1.7,20058,137,6.99411706052
std,1024,12.625,0.1,1.7,30058,217,7.39264089427
rte,1024,12.625,0.1,1.7,30058,205,6.98383125956
std,1024,12.625,0.1,1.7,40058,289,7.38768785261
rte,1024,12.625,0.1,1.7,40058,273,6.97868091268
std,1024,12.625,0.1,1.7,50058,361,7.38471373207
rte,1024,12.625,0.1,1.7,50058,341,6.97558831755
std,1024,12.625,0.1,1.7,60058,433,7.38273002764
rte,1024,12.625,0.1,1.7,60058,409,6.97352559193
std,1024,12.625,0.1,1.7,70058,505,7.38131262668
rte,1024,12.625,0.1,1.7,70058,477,6.97205172857
std,1024,12.625,0.1,1.7,80058,577,7.38024931924
rte,1024,12.625,0.1,1.7,80058,545,6.9709460641
std,1024,12.625,0.1,2.5,58,1,17.6551724138
rte,1024,12.625,0.1,2.5,58,1,17.6551724138
std,1024,12.625,0.1,2.5,10058,50,5.09047524359
rte,1024,12.625,0.1,2.5,10058,48,4.88685623384
std,1024,12.625,0.1,2.5,20058,99,5.05414298534
rte,1024,12.625,0.1,2.5,20058,95,4.84993518795
std,1024,12.625,0.1,2.5,30058,148,5.04198549471
rte,1024,12.625,0.1,2.5,30058,142,4.83758067736
std,1024,12.625,0.1,2.5,40058,196,5.01033501423
rte,1024,12.625,0.1,2.5,40058,189,4.83139447801
std,1024,12.625,0.1,2.5,50058,245,5.01178632786
rte,1024,12.625,0.1,2.5,50058,236,4.82767989133
std,1024,12.625,0.1,2.5,60058,294,5.01275433747
rte,1024,12.625,0.1,2.5,60058,283,4.82520230444
std,1024,12.625,0.1,2.5,70058,343,5.01344600188
rte,1024,12.625,0.1,2.5,70058,330,4.82343201347
std,1024,12.625,0.1,2.5,80058,392,5.01396487547
rte,1024,12.625,0.1,2.5,80058,377,4.82210397462
std,1024,12.625,0.1,3.3,58,1,17.6551724138
rte,1024,12.625,0.1,3.3,58,1,17.6551724138
std,1024,12.625,0.1,3.3,10058,38,3.86876118513
rte,1024,12.625,0.1,3.3,10058,37,3.76695168025
std,1024,12.625,0.1,3.3,20058,75,3.82889620102
rte,1024,12.625,0.1,3.3,20058,73,3.72679230232
std,1024,12.625,0.1,3.3,30058,112,3.81555659059
rte,1024,12.625,0.1,3.3,30058,109,3.71335418191
std,1024,12.625,0.1,3.3,40058,149,3.80887712816
rte,1024,12.625,0.1,3.3,40058,145,3.70662539318
std,1024,12.625,0.1,3.3,50058,186,3.80486635503
rte,1024,12.625,0.1,3.3,50058,181,3.7025850014
std,1024,12.625,0.1,3.3,60058,223,3.80219121516
rte,1024,12.625,0.1,3.3,60058,217,3.69989010623
std,1024,12.625,0.1,3.3,70058,260,3.80027976819
rte,1024,12.625,0.1,3.3,70058,253,3.69796454366
std,1024,12.625,0.1,3.3,80058,297,3.79884583677
rte,1024,12.625,0.1,3.3,80058,289,3.69652002298
std,1024,12.625,0.1,4.1,58,1,17.6551724138
rte,1024,12.625,0.1,4.1,58,1,17.6551724138
std,1024,12.625,0.1,4.1,10058,31,3.15609465102
rte,1024,12.625,0.1,4.1,10058,30,3.05428514615
std,1024,12.625,0.1,4.1,20058,60,3.06311696081
rte,1024,12.625,0.1,4.1,20058,59,3.01206501147
std,1024,12.625,0.1,4.1,30058,90,3.0660722603
rte,1024,12.625,0.1,4.1,30058,88,2.99793732118
std,1024,12.625,0.1,4.1,40058,120,3.06755204953
rte,1024,12.625,0.1,4.1,40058,117,2.99086324829
std,1024,12.625,0.1,4.1,50058,150,3.06844060889
rte,1024,12.625,0.1,4.1,50058,146,2.98661552599
std,1024,12.625,0.1,4.1,60058,180,3.06903326784
rte,1024,12.625,0.1,4.1,60058,175,2.98378234373
std,1024,12.625,0.1,4.1,70058,210,3.06945673585
rte,1024,12.625,0.1,4.1,70058,205,2.99637443261
std,1024,12.625,0.1,4.1,80058,239,3.05698368683
rte,1024,12.625,0.1,4.1,80058,234,2.99303005321
std,1024,12.625,0.1,4.9,58,1,17.6551724138
rte,1024,12.625,0.1,4.9,58,1,17.6551724138
std,1024,12.625,0.1,4.9,10058,26,2.64704712667
rte,1024,12.625,0.1,4.9,10058,25,2.54523762179
std,1024,12.625,0.1,4.9,20058,51,2.60364941669
rte,1024,12.625,0.1,4.9,20058,50,2.55259746734
std,1024,12.625,0.1,4.9,30058,76,2.58912768647
rte,1024,12.625,0.1,4.9,30058,74,2.52099274736
std,1024,12.625,0.1,4.9,40058,100,2.55629337461
rte,1024,12.625,0.1,4.9,40058,98,2.50516750711
std,1024,12.625,0.1,4.9,50058,125,2.55703384074
rte,1024,12.625,0.1,4.9,50058,123,2.51612129929
std,1024,12.625,0.1,4.9,60058,150,2.5575277232
rte,1024,12.625,0.1,4.9,60058,147,2.50637716874
std,1024,12.625,0.1,4.9,70058,175,2.55788061321
rte,1024,12.625,0.1,4.9,70058,172,2.51403123127
std,1024,12.625,0.1,4.9,80058,200,2.55814534463
rte,1024,12.625,0.1,4.9,80058,196,2.50698243773
std,1024,12.625,0.1,5.7,58,1,17.6551724138
rte,1024,12.625,0.1,5.7,58,1,17.6551724138
std,1024,12.625,0.1,5.7,10058,22,2.23980910718
rte,1024,12.625,0.1,5.7,10058,22,2.23980910718
std,1024,12.625,0.1,5.7,20058,44,2.24628577126
rte,1024,12.625,0.1,5.7,20058,43,2.19523382192
std,1024,12.625,0.1,5.7,30058,65,2.21438552133
rte,1024,12.625,0.1,5.7,30058,64,2.18031805177
std,1024,12.625,0.1,5.7,40058,86,2.19841230216
rte,1024,12.625,0.1,5.7,40058,85,2.17284936842
std,1024,12.625,0.1,5.7,50058,108,2.2092772384
rte,1024,12.625,0.1,5.7,50058,106,2.16836469695
std,1024,12.625,0.1,5.7,60058,129,2.19947384195
rte,1024,12.625,0.1,5.7,60058,127,2.16537347231
std,1024,12.625,0.1,5.7,70058,151,2.20708555768
rte,1024,12.625,0.1,5.7,70058,148,2.16323617574
std,1024,12.625,0.1,5.7,80058,172,2.20000499638
rte,1024,12.625,0.1,5.7,80058,169,2.16163281621
std,1024,12.625,0.9,0.1,58,7,123.586206897
rte,1024,12.625,0.9,0.1,58,1,17.6551724138
std,1024,12.625,0.9,0.1,10058,1152,117.284549612
rte,1024,12.625,0.9,0.1,10058,116,11.8099025651
std,1024,12.625,0.9,0.1,20058,2297,117.26632765
rte,1024,12.625,0.9,0.1,20058,230,11.7419483498
std,1024,12.625,0.9,0.1,30058,3442,117.260230222
rte,1024,12.625,0.9,0.1,30058,345,11.7532769978
std,1024,12.625,0.9,0.1,40058,4587,117.257177093
rte,1024,12.625,0.9,0.1,40058,459,11.7333865894
std,1024,12.625,0.9,0.1,50058,5732,117.255343801
rte,1024,12.625,0.9,0.1,50058,574,11.7418993967
std,1024,12.625,0.9,0.1,60058,6877,117.254121016
rte,1024,12.625,0.9,0.1,60058,688,11.7305271571
std,1024,12.625,0.9,0.1,70058,8022,117.253247309
rte,1024,12.625,0.9,0.1,70058,803,11.7370178995
std,1024,12.625,0.9,0.1,80058,9167,117.252591871
rte,1024,12.625,0.9,0.1,80058,917,11.7290964051
std,1024,12.625,0.9,0.9,58,1,17.6551724138
rte,1024,12.625,0.9,0.9,58,1,17.6551724138
std,1024,12.625,0.9,0.9,10058,128,13.0316166236
rte,1024,12.625,0.9,0.9,10058,64,6.51580831179
std,1024,12.625,0.9,0.9,20058,256,13.0692990328
rte,1024,12.625,0.9,0.9,20058,128,6.5346495164
std,1024,12.625,0.9,0.9,30058,383,13.047840841
rte,1024,12.625,0.9,0.9,30058,192,6.5409541553
std,1024,12.625,0.9,0.9,40058,510,13.0370962105
rte,1024,12.625,0.9,0.9,40058,255,6.51854810525
std,1024,12.625,0.9,0.9,50058,637,13.0306444524
rte,1024,12.625,0.9,0.9,50058,319,6.52555036158
std,1024,12.625,0.9,0.9,60058,765,13.0433913883
rte,1024,12.625,0.9,0.9,60058,383,6.53022078657
std,1024,12.625,0.9,0.9,70058,892,13.037882897
rte,1024,12.625,0.9,0.9,70058,446,6.51894144851
std,1024,12.625,0.9,0.9,80058,1019,13.0337505309
rte,1024,12.625,0.9,0.9,80058,510,6.52327062879
std,1024,12.625,0.9,1.7,58,1,17.6551724138
rte,1024,12.625,0.9,1.7,58,1,17.6551724138
std,1024,12.625,0.9,1.7,10058,68,6.92304633128
rte,1024,12.625,0.9,1.7,10058,45,4.58142771923
std,1024,12.625,0.9,1.7,20058,136,6.94306511118
rte,1024,12.625,0.9,1.7,20058,89,4.54362349187
std,1024,12.625,0.9,1.7,30058,203,6.91569632045
rte,1024,12.625,0.9,1.7,30058,133,4.53097345133
std,1024,12.625,0.9,1.7,40058,270,6.90199211144
rte,1024,12.625,0.9,1.7,40058,177,4.52463927305
