Attack Type, Packet Size, Initial Energy(joules), Transmission Power(Watts), Reception Power(Watts),Connection Data Rate(bits/sec), Packets Sent, Time to Compromise(seconds)
std,1024,0.125,0.1,4.1,70058,1,0.0146164606469
rte,1024,0.125,0.1,4.1,70058,1,0.0146164606469
std,1024,0.125,0.1,4.1,80058,1,0.0127907267231
rte,1024,0.125,0.1,4.1,80058,1,0.0127907267231
std,1024,0.125,0.1,4.9,58,1,17.6551724138
rte,1024,0.125,0.1,4.9,58,1,17.6551724138
std,1024,0.125,0.1,4.9,10058,1,0.101809504872
rte,1024,0.125,0.1,4.9,10058,1,0.101809504872
std,1024,0.125,0.1,4.9,20058,1,0.0510519493469
rte,1024,0.125,0.1,4.9,20058,1,0.0510519493469
std,1024,0.125,0.1,4.9,30058,1,0.0340674695589
rte,1024,0.125,0.1,4.9,30058,1,0.0340674695589
std,1024,0.125,0.1,4.9,40058,1,0.0255629337461
rte,1024,0.125,0.1,4.9,40058,1,0.0255629337461
std,1024,0.125,0.1,4.9,50058,1,0.020456270726
rte,1024,0.125,0.1,4.9,50058,1,0.020456270726
std,1024,0.125,0.1,4.9,60058,1,0.0170501848213
rte,1024,0.125,0.1,4.9,60058,1,0.0170501848213
std,1024,0.125,0.1,4.9,70058,1,0.0146164606469
rte,1024,0.125,0.1,4.9,70058,1,0.0146164606469
std,1024,0.125,0.1,4.9,80058,1,0.0127907267231
rte,1024,0.125,0.1,4.9,80058,1,0.0127907267231
std,1024,0.125,0.1,5.7,58,1,17.6551724138
rte,1024,0.125,0.1,5.7,58,1,17.6551724138
std,1024,0.125,0.1,5.7,10058,1,0.101809504872
rte,1024,0.125,0.1,5.7,10058,1,0.101809504872
std,1024,0.125,0.1,5.7,20058,1,0.0510519493469
rte,1024,0.125,0.1,5.7,20058,1,0.0510519493469
std,1024,0.125,0.1,5.7,30058,1,0.0340674695589
rte,1024,0.125,0.1,5.7,30058,1,0.0340674695589
std,1024,0.125,0.1,5.7,40058,1,0.0255629337461
rte,1024,0.125,0.1,5.7,40058,1,0.0255629337461
std,1024,0.125,0.1,5.7,50058,1,0.020456270726
rte,1024,0.125,0.1,5.7,50058,1,0.020456270726
std,1024,0.125,0.1,5.7,60058,1,0.0170501848213
rte,1024,0.125,0.1,5.7,60058,1,0.0170501848213
std,1024,0.125,0.1,5.7,70058,1,0.0146164606469
rte,1024,0.125,0.1,5.7,70058,1,0.0146164606469
std,1024,0.125,0.1,5.7,80058,1,0.0127907267231
rte,1024,0.125,0.1,5.7,80058,1,0.0127907267231
