"","Packet.Size","Initial.Energy.joules.","Transmission.Power.Watts.","Reception.Power.Watts.","Connection.Data.Rate.bits.sec.","Packets.Sent","Time.to.Compromise.seconds."
"216",1024,2.625,0.1,2.5,80058,76,0.972095231
"218",1024,2.625,0.1,3.3,58,1,17.65517241
"220",1024,2.625,0.1,3.3,10058,8,0.814476039
"222",1024,2.625,0.1,3.3,20058,15,0.76577924
"224",1024,2.625,0.1,3.3,30058,22,0.74948433
"226",1024,2.625,0.1,3.3,40058,30,0.766888012
"228",1024,2.625,0.1,3.3,50058,37,0.756882017
"230",1024,2.625,0.1,3.3,60058,44,0.750208132
"232",1024,2.625,0.1,3.3,70058,51,0.745439493
"234",1024,2.625,0.1,3.3,80058,59,0.754652877
"236",1024,2.625,0.1,4.1,58,1,17.65517241
"238",1024,2.625,0.1,4.1,10058,6,0.610857029
"240",1024,2.625,0.1,4.1,20058,12,0.612623392
"242",1024,2.625,0.1,4.1,30058,18,0.613214452
"244",1024,2.625,0.1,4.1,40058,24,0.61351041
"246",1024,2.625,0.1,4.1,50058,30,0.613688122
"248",1024,2.625,0.1,4.1,60058,36,0.613806654
"250",1024,2.625,0.1,4.1,70058,42,0.613891347
"252",1024,2.625,0.1,4.1,80058,48,0.613954883
"254",1024,2.625,0.1,4.9,58,1,17.65517241
"256",1024,2.625,0.1,4.9,10058,5,0.509047524
"258",1024,2.625,0.1,4.9,20058,10,0.510519493
"260",1024,2.625,0.1,4.9,30058,15,0.511012043
"262",1024,2.625,0.1,4.9,40058,20,0.511258675
"264",1024,2.625,0.1,4.9,50058,25,0.511406768
"266",1024,2.625,0.1,4.9,60058,30,0.511505545
"268",1024,2.625,0.1,4.9,70058,35,0.511576123
"270",1024,2.625,0.1,4.9,80058,40,0.511629069
"272",1024,2.625,0.1,5.7,58,1,17.65517241
"274",1024,2.625,0.1,5.7,10058,5,0.509047524
"276",1024,2.625,0.1,5.7,20058,9,0.459467544
"278",1024,2.625,0.1,5.7,30058,13,0.442877104
"280",1024,2.625,0.1,5.7,40058,18,0.460132807
"282",1024,2.625,0.1,5.7,50058,22,0.450037956
"284",1024,2.625,0.1,5.7,60058,26,0.443304805
"286",1024,2.625,0.1,5.7,70058,30,0.438493819
"288",1024,2.625,0.1,5.7,80058,35,0.447675435
"290",1024,2.625,0.9,0.1,58,1,17.65517241
"292",1024,2.625,0.9,0.1,10058,17,1.730761583
"294",1024,2.625,0.9,0.1,20058,34,1.735766278
"296",1024,2.625,0.9,0.1,30058,51,1.737440948
"298",1024,2.625,0.9,0.1,40058,68,1.738279495
"300",1024,2.625,0.9,0.1,50058,85,1.738783012
"302",1024,2.625,0.9,0.1,60058,102,1.739118852
"304",1024,2.625,0.9,0.1,70058,119,1.739358817
"306",1024,2.625,0.9,0.1,80058,135,1.726748108
"308",1024,2.625,0.9,0.9,58,1,17.65517241
"310",1024,2.625,0.9,0.9,10058,10,1.018095049
"312",1024,2.625,0.9,0.9,20058,19,0.969987038
"314",1024,2.625,0.9,0.9,30058,29,0.987956617
